Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country,FederalInt
https://www.zillow.com/homedetails/6023-S-Komensky-Ave-Chicago-IL-60629/3939888_zpid/,,New,Unknown,,349000,No,,,2300,sqft,151.74,3750,sqft,5,3,Realty of Chicago LLC,,6023 S Komensky Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/6800-S-Kostner-Ave-Chicago-IL-60629/3951402_zpid/,,New,Unknown,,220000,No,,,1147,sqft,191.8,3750.52,sqft,3,2,Vista Realty Group LLC,,6800 S Kostner Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/7119-S-Spaulding-Ave-Chicago-IL-60629/3958719_zpid/,,New,Unknown,,240000,No,,,1060,sqft,226.42,3125,sqft,4,3,YUB Realty Inc,,7119 S Spaulding Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/2645-W-71st-St-Chicago-IL-60629/3957265_zpid/,,New,Unknown,,165000,No,,,836,sqft,197.37,3397.68,sqft,3,2,Compass,,2645 W 71st St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/5544-S-Kilbourn-Ave-Chicago-IL-60629/2057846551_zpid/,,Price Change,Unknown,,299900,Yes,5000,02/13/2024,1216,sqft,246.63,3750,sqft,4,3,RE/MAX MI CASA,,5544 S Kilbourn Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/3519-W-65th-St-Chicago-IL-60629/3953463_zpid/,,Active,Unknown,,169900,No,,,1784,sqft,95.24,6185.52,sqft,4,2,Keller Williams ONEChicago,,3519 W 65th St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/3843-W-56th-St-Chicago-IL-60629/3934014_zpid/,,New,Unknown,,299999,No,,,1620,sqft,185.18,3125,sqft,4,2,Green Homes Realty,,3843 W 56th St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/5915-S-Spaulding-Ave-Chicago-IL-60629/2126277898_zpid/,,New,Unknown,,356000,No,,,2230,sqft,159.64,6198.59,sqft,4,3,RE/MAX MI CASA,,5915 S Spaulding Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/3333-W-59th-Pl-Chicago-IL-60629/158954860_zpid/,,Active,Unknown,,379000,No,,,,,,3250,sqft,8,3,Polmex Realty Inc.,,3333 W 59th Pl,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/6142-S-Mozart-St-Chicago-IL-60629/3932972_zpid/,,Active,Unknown,,280000,No,,,1260,sqft,222.22,3750,sqft,8,2,Smart Home Realty,,6142 S Mozart St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/6519-S-Rockwell-St-Chicago-IL-60629/3956055_zpid/,,Active,Unknown,,125000,No,,,1152,sqft,108.51,4050,sqft,2,1,Vylla Home,,6519 S Rockwell St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/6600-S-Washtenaw-Ave-Chicago-IL-60629/3956148_zpid/,,Active,Unknown,,370000,Yes,19999,02/07/2024,2722,sqft,135.93,3781.01,sqft,7,3,Realtopia Real Estate Inc,,6600 S Washtenaw Ave,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/3334-W-62nd-St-Chicago-IL-60629/3937210_zpid/,,Price Change,Unknown,,325000,Yes,10000,02/14/2024,1632,sqft,199.14,0.25,acres,4,2,Su Familia Real Estate Inc,,3334 W 62nd St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/3631-W-70th-St-Chicago-IL-60629/3954796_zpid/,,Active,Unknown,,284900,Yes,5000,02/05/2024,990,sqft,287.78,4000,sqft,5,2,Charles Rutenberg Realty of IL,,3631 W 70th St,Chicago,60629,IL,USA,5.33
https://www.zillow.com/homedetails/6417-S-Tripp-Ave-Chicago-IL-60629/3950674_zpid/,,Active,Unknown,,325000,No,,,1116,sqft,291.22,3750,sqft,4,3,RE/MAX 10,,6417 S Tripp Ave,Chicago,60629,IL,USA,5.33
