Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country,FederalInt
https://www.zillow.com/homedetails/14301-SW-130th-Ave-Miami-FL-33186/58455651_zpid/,,House for sale,Single Family,,899000,Yes,60000,01/08/2024,,,,,sqft,4,3,Optimar International Realty,,14301 SW 130th Ave,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11980-SW-92nd-Ln-Miami-FL-33186/44305699_zpid/,,House for sale,Single Family,,1087000,Yes,112000,10/17/2023,3247,sqft,334.77,8624,sqft,4,5,Featured Properties Int'l.,,11980 SW 92nd Ln,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11153-SW-145th-Pl-Miami-FL-33186/44321264_zpid/,,House for sale,Single Family,,1249000,Yes,50900,02/08/2024,2729,sqft,457.68,10000,sqft,4,3,Avanti Way Realty LLC,,11153 SW 145th Pl,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/14210-SW-116th-Ter-Miami-FL-33186/44321621_zpid/,,House for sale,Single Family,,880000,Yes,115000,02/08/2024,2358,sqft,373.2,4275,sqft,4,3,Goldpen Realty Group,,14210 SW 116th Ter,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11921-SW-134th-Ct-Miami-FL-33186/44323663_zpid/,,House for sale,Single Family,17,925000,No,,,2103,sqft,439.85,0.31,acres,4,2,Miami Brokers Group,,11921 SW 134th Ct,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/12200-SW-100th-St-Miami-FL-33186/44307583_zpid/,,House for sale,Single Family,,1389000,Yes,111000,02/05/2024,2618,sqft,530.56,0.35,acres,5,4,Unlimited Homes LLC,,12200 SW 100th St,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/14145-SW-145th-Pl-Miami-FL-33186/44327961_zpid/,,House for sale,Single Family,,550000,No,,,1392,sqft,395.11,4500,sqft,3,2,Keller Williams Realty International Lifestyles,,14145 SW 145th Pl,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/14172-SW-121st-Pl-4-Miami-FL-33186/44332844_zpid/,,Townhouse for sale,Townhouse,32,395000,No,,,1150,sqft,343.48,,sqft,3,3,"United Realty Group, Inc",,14172 SW 121st Pl #4,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/11787-SW-99th-Ln-Miami-FL-33186/44307291_zpid/,,House for sale,Single Family,5,615000,No,,,1610,sqft,381.99,3005,sqft,4,3,Realty World Executive Homes,,11787 SW 99th Ln,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/13312-SW-136th-Ter-Miami-FL-33186/54697318_zpid/,,House for sale,Single Family,34,1100000,No,,,2698,sqft,407.71,7004,sqft,3,4,Onepath Realty LLC,,13312 SW 136th Ter,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/13234-SW-110th-Ter-393-Miami-FL-33186/44323804_zpid/,,Townhouse for sale,Townhouse,10,480000,No,,,1340,sqft,358.21,,sqft,3,3,"Star Realty Advisors, Inc",,13234 SW 110th Ter #393,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/14534-SW-106th-Ter-Miami-FL-33186/44320906_zpid/,,House for sale,Single Family,11,560000,No,,,1752,sqft,319.63,5550,sqft,3,2,Augmented Realty,,14534 SW 106th Ter,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/12815-SW-133rd-St-Miami-FL-33186/66178617_zpid/,,Townhouse for sale,Townhouse,6,550000,No,,,1733,sqft,317.37,,sqft,3,3,Brown Harris Stevens,,12815 SW 133rd St,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/13051-SW-88th-Ter-S-204-B-Miami-FL-33186/44309757_zpid/,,Condo for sale,Condominium,13,364000,No,,,1102,sqft,330.31,,sqft,3,2,Century 21 BE3,,13051 SW 88th Ter S #204-B,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/14748-SW-123rd-Ave-Miami-FL-33186/44332609_zpid/,,House for sale,Single Family,,590000,Yes,59000,01/12/2024,1862,sqft,316.86,5809,sqft,4,2,"Prestige Empire Realty, LLC",,14748 SW 123rd Ave,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/10240-SW-130th-Ave-Miami-FL-33186/44307905_zpid/,,House for sale,Single Family,,820000,No,,,1999,sqft,410.21,7524,sqft,4,2,Redfin Corporation,,10240 SW 130th Ave,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/10710-SW-126th-Ave-Miami-FL-33186/44324315_zpid/,,House for sale,Single Family,,780000,No,,,2120,sqft,367.92,8250,sqft,4,3,Coldwell Banker Realty,,10710 SW 126th Ave,Miami,33186,FL,USA,5.33
https://www.zillow.com/homedetails/13700-SW-104th-Ter-Miami-FL-33186/44319861_zpid/,,House for sale,Single Family,,687777,Yes,53000,01/12/2024,1828,sqft,376.25,8250,sqft,4,2,Choice Realty of Miami Inc,,13700 SW 104th Ter,Miami,33186,FL,USA,5.33
