Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country,FederalInt
https://www.zillow.com/homedetails/110-62-Corona-Ave-Corona-NY-11368/2056785766_zpid/,,Apartment for sale,Apartment,116,2328000,No,,,3425,sqft,679.71,,,8,4,P R O Links Realty Inc,,110-62 Corona Ave,Corona,11368,NY,USA,5.53
https://www.zillow.com/homedetails/112-50-Northern-Blvd-G6G-Corona-NY-11368/2052897786_zpid/,,Condo for sale,Condominium,10,168888,No,,,,,,,,2,1,Coldwell Banker American Homes,,112-50 Northern Boulevard UNIT G6G,Corona,11368,NY,USA,5.53
https://www.zillow.com/homedetails/9910-60th-Ave-APT-1H-Flushing-NY-11368/245417618_zpid/,,Condo for sale,Condominium,24,419888,No,,,,,,,,3,2,Coldwell Banker American Homes,,99-10 60th A Avenue UNIT 1H,Flushing,11368,NY,USA,5.53
https://www.zillow.com/homedetails/112-50-Northern-Blvd-G6-Corona-NY-11368/2055435624_zpid/,,Condo for sale,Condominium,1,168888,No,,,,,,,,2,1,Century 21 American Homes,,112-50 Northern Blvd #G6,Corona,11368,NY,USA,5.53
https://www.zillow.com/homedetails/99-30-59th-Ave-4A-Queens-NY-11368/245528554_zpid/,,Condo for sale,Condominium,1,250000,No,,,800,sqft,312.5,,,1,1,"Apartment Luxe Realty Group, Inc",,99-30 59th Ave #4A,Queens,11368,NY,USA,5.53
https://www.zillow.com/homedetails/58-03-Calloway-St-2BB-Corona-NY-11368/72648292_zpid/,,Condo for sale,Condominium,,220000,No,,,,,,,,1,1,Vintage American Realty LLC,,58-03 Calloway UNIT 2BB,Corona,11368,NY,USA,5.53
https://www.zillow.com/homedetails/11230-Northern-Blvd-Corona-NY-11368/2099080163_zpid/,,Condo for sale,Condominium,38,220000,No,,,1000,sqft,220,,,2,1,ONE STOP MULTISERVICE INC,,11230 Northern Blvd,Corona,11368,NY,USA,5.53
https://www.zillow.com/homedetails/51-17-99th-St-15C-Corona-NY-11368/2075329229_zpid/,,Condo for sale,Condominium,88,549999,No,,,1035,sqft,531.4,0.78,acres,3,1,Real Broker NY LLC,,51-17 99th Street UNIT 15C,Corona,11368,NY,USA,5.53
https://www.zillow.com/homedetails/5921-Calloway-St-APT-2U-Flushing-NY-11368/245435498_zpid/,,Condo for sale,Condominium,533,205000,Yes,5000,8/4/23,660,sqft,310.61,,,1,1,Houlihan Lawrence Inc.,,5921 Calloway Street UNIT 2U,Flushing,11368,NY,USA,5.53
https://www.zillow.com/homedetails/112-19-34th-Ave-5A-Corona-NY-11368/2054252490_zpid/,,Condo for sale,Condominium,86,135000,No,,,,,,,,1,1,O'Kane Realty,,112-19 34th Ave #5A,Corona,11368,NY,USA,5.53
