Address,City,Zip,SoldDate,Bathrooms,Bedrooms,LivingArea,LandArea,PropPrice,InflationRate,FederalInt,MonthID
244 N Delaware St,Chandler,85225,2/19/24,3,4,1272,7532,275000,3.1,5.33,2
923 W Mesquite St,Chandler,85225,2/16/24,2,3,1480,7492,428000,3.1,5.33,2
304 W El Prado Rd,Chandler,85225,2/16/24,2,3,1300,8024,419000,3.1,5.33,2
1412 E Ironwood Dr,Chandler,85225,2/16/24,2,3,1308,7823,435300,3.1,5.33,2
663 E Manor Dr,Chandler,85225,2/16/24,2,3,1415,8407,494000,3.1,5.33,2
914 W Loughlin Dr,Chandler,85225,2/15/24,2,3,1480,7353,410000,3.1,5.33,2
860 N McQueen Rd UNIT 1168,Chandler,85225,2/15/24,3,3,1287,1426,394000,3.1,5.33,2
137 N Ithica Pl,Chandler,85225,2/15/24,2,3,1144,0.25,340000,3.1,5.33,2
286 W Palomino Dr UNIT 31,Chandler,85225,2/14/24,2,2,882,458,230000,3.1,5.33,2
801 E Chicago St,Chandler,85225,2/14/24,2,3,2045,6965,545000,3.1,5.33,2
286 W Palomino Dr UNIT 19,Chandler,85225,2/13/24,2,2,882,458,237000,3.1,5.33,2
770 W Kesler Ln,Chandler,85225,2/13/24,2,4,1710,7876,525000,3.1,5.33,2
312 W Marlboro Dr,Chandler,85225,2/12/24,2,4,1886,7532,527500,3.1,5.33,2
1550 N Sunset Pl,Chandler,85225,2/9/24,3,3,1571,5693,445000,3.1,5.33,2
873 N Crossbow Ct,Chandler,85225,2/9/24,3,3,1876,7253,510000,3.1,5.33,2
664 W Mesquite St,Chandler,85225,2/9/24,2,3,1282,6612,434000,3.1,5.33,2
1733 E Geronimo St,Chandler,85225,2/9/24,3,3,1575,3058,429900,3.1,5.33,2
2420 E Whitten St,Chandler,85225,2/9/24,2,4,2288,8690,600000,3.1,5.33,2
256 S Springs Dr,Chandler,85225,2/8/24,2,3,1444,5385,425000,3.1,5.33,2
1012 E Sheffield Ave,Chandler,85225,2/8/24,3,4,2957,9496,600000,3.1,5.33,2
1325 E Whitten Pl,Chandler,85225,2/8/24,2,4,2257,8441,580000,3.1,5.33,2
1165 E Ivanhoe St,Chandler,85225,2/7/24,2,2,1036,6969,305000,3.1,5.33,2
2410 E Geronimo St,Chandler,85225,2/5/24,2,3,2288,0.27,685000,3.1,5.33,2
1553 E Fairview St,Chandler,85225,2/4/24,2,3,1284,8747,566000,3.1,5.33,2
881 W Folley St,Chandler,85225,2/1/24,5,5,4695,9800,880000,3.1,5.33,2
762 E Kent Ave,Chandler,85225,1/31/24,2,3,1659,7227,540000,3.09,5.33,1
1961 N Hartford St UNIT 1130,Chandler,85225,1/31/24,3,2,1184,838,330000,3.09,5.33,1
870 S Palm Ln UNIT 56,Chandler,85225,1/31/24,2,2,837,1076,289000,3.09,5.33,1
1841 E Ross Dr,Chandler,85225,1/31/24,3,4,2288,7941,625000,3.09,5.33,1
2421 E Geronimo St,Chandler,85225,1/31/24,2,3,1713,8530,412500,3.09,5.33,1
2609 N Pleasant Dr,Chandler,85225,1/30/24,2,3,1463,6909,475000,3.09,5.33,1
705 W El Prado Rd,Chandler,85225,1/29/24,2,3,1368,6534,430000,3.09,5.33,1
921 N Oxford Ln,Chandler,85225,1/29/24,3.5,4,2708,0.29,352000,3.09,5.33,1
670 W Dublin St,Chandler,85225,1/26/24,2,3,1333,7976,415000,3.09,5.33,1
286 W Palomino Dr UNIT 22,Chandler,85225,1/26/24,2,2,882,458,206000,3.09,5.33,1
765 S Bedford Dr,Chandler,85225,1/26/24,2,3,1427,4612,447000,3.09,5.33,1
900 S Canal Dr UNIT 216,Chandler,85225,1/26/24,2,2,1289,1253,367500,3.09,5.33,1
1149 N Jay Pl,Chandler,85225,1/26/24,3,3,2060,3060,550000,3.09,5.33,1
3324 N Nebraska St,Chandler,85225,1/25/24,2,2,1782,10354,515000,3.09,5.33,1
25 S Willow Creek St,Chandler,85225,1/24/24,3,4,2144,4735,517500,3.09,5.33,1
900 S Lafayette Dr,Chandler,85225,1/24/24,2,3,1713,8510,525000,3.09,5.33,1
683 E Park Ave,Chandler,85225,1/23/24,2,3,1528,5667,474250,3.09,5.33,1
553 W Myrna Ln,Chandler,85225,1/23/24,2,3,1814,8059,442500,3.09,5.33,1
124 N California St UNIT 19,Chandler,85225,1/22/24,4,3,2037,1130,520000,3.09,5.33,1
902 W Curry St,Chandler,85225,1/19/24,2,3,2102,7880,580000,3.09,5.33,1
397 E Sheffield Ave,Chandler,85225,1/19/24,2,3,1434,5400,455000,3.09,5.33,1
384 E Ironwood Dr,Chandler,85225,1/17/24,2,3,1587,5400,465000,3.09,5.33,1
860 N Hudson Dr,Chandler,85225,1/16/24,2,4,2525,0.28,777000,3.09,5.33,1
2362 E San Tan St,Chandler,85225,1/16/24,2,3,2448,9226,690000,3.09,5.33,1
1961 N Hartford St UNIT 1109,Chandler,85225,1/15/24,3,2,1530,1013,355000,3.09,5.33,1
1192 E Erie St,Chandler,85225,1/12/24,2,3,1508,9766,480000,3.09,5.33,1
311 W Bentrup St,Chandler,85225,1/12/24,3,4,2869,10023,580000,3.09,5.33,1
3491 N Arizona Ave UNIT 177,Chandler,85225,1/10/24,3,2,1046,514,315000,3.09,5.33,1
873 W Shannon St,Chandler,85225,1/8/24,2,4,1645,7553,372000,3.09,5.33,1
732 E Chicago St,Chandler,85225,1/8/24,2,4,1713,8538,420000,3.09,5.33,1
501 E Ray Rd #161,Chandler,85225,1/5/24,2,2,950,3000,30000,3.09,5.33,1
368 E Campbell Rd,Chandler,85225,1/4/24,2,4,2522,0.91,950000,3.09,5.33,1
1961 N Hartford St UNIT 1087,Chandler,85225,1/4/24,3,3,1530,1004,359500,3.09,5.33,1
1761 E Tulsa St,Chandler,85225,1/2/24,2,3,1438,5545,465000,3.09,5.33,1
